上「,あの
なんかを,受取
受取,るのだろう
るのだろう,。
。,そこで
そこで,、
、,俺
俺,は
は,又考
又考,えさせられた
えさせられた,。
。,併
併,し
し,、
、,この
この,謎
謎,は
は,割合簡単
割合簡単,に
に,解
解,くことが
くことが,出来
出来,た
た,。
。,そして
そして,、
、,俺
俺,はつくづくその
はつくづくその,紳士泥坊
紳士泥坊,の
の,、
、,頭
頭,がよくって
がよくって,敏捷
敏捷,（
（,びんしょう
びんしょう,）
）,で
で,、
、,尚
尚,（
（,な
な,）
）,お
お,其上
其上,に
に,小説家
小説家,の
の,様
様,な
な,ウイット
ウイット,を
を,持
持,っていることに
っていることに,感心
感心,して
して,了
了,った
った,。
。,エ
エ,、
、,君
君,、
、,玩具
玩具,の
の,紙幣
紙幣,とはすてきじゃないか
とはすてきじゃないか,。
。,俺
俺,はこう
はこう,想像
想像,したんだ
したんだ,。
。,そして
そして,、
、,それが
それが,幸
幸,にも
にも,悉
悉,く
く,適中
適中,した
した,訳
訳,だがね
だがね,。
。,紳士泥坊
紳士泥坊,は
は,、
、,万一
万一,を
を,慮
慮,（
（,おもんぱか
おもんぱか,）
）,って
って,、
、,盗
盗,んだ
んだ,金
金,の
の,最
最,も
も,安全
安全,な
な,隠
隠,し
し,場所
場所,を
を,、
、,予
予,（
（,あらかじ
あらかじ,）
）,め
め,用意
用意,して
して,置
置,いたに
いたに,相違
相違,ないんだ
ないんだ,。
。,さて
さて,、
、,世
世,の
の,中
中,に
に,一番安全
一番安全,な
な,隠
隠,し
し,方
方,は
は,、
、,隠
隠,さないで
さないで,隠
隠,すことだ
すことだ,。
。,衆人
衆人,の
の,目
目,の
の,前
前,に
に,曝
曝,（
（,さら
さら,）
）,して
して,置
置,いて
いて,、
、,しかも
しかも,誰
誰,もがそれに
もがそれに,気
気,づかないという
づかないという,様
様,な
な,隠
隠,し
し,方
方,が
が,最
最,も
も,安全
安全,なんだ
なんだ,。
。,恐
恐,るべきあいつは
るべきあいつは,、
、,この
この,点
点,に
に,気
気,づいたんだ
づいたんだ,。
。,と
と,、
、,想像
想像,するのだがね
するのだがね,。
。,で
で,、
、,玩具
玩具,の
の,紙幣
紙幣,という
という,巧妙
巧妙,な
な,トリック
トリック,を
を,考
考,え
え,出
出,した
した,。
。,俺
俺,は
は,、
、,この
この,正直堂
正直堂,というのは
というのは,、
、,多分玩具
多分玩具,の
の,札
札,なんかを
なんかを,印刷
印刷,する
する,店
店,だと
だと,想像
想像,した
した,。——
。——,これも
これも,当
当,って
って,居
居,ったがね
ったがね,。——
。——,そこへ
そこへ,、
、,彼奴
彼奴,は
は,大黒屋商店
大黒屋商店,という
という,名
名,で
で,、
、,予
予,め
め,玩具
玩具,の
の,札
札,を
を,註文
註文,して
して,置
置,いたんだ
いたんだ,。
。,近頃
近頃,、
、,本物
本物,と
と,寸分違
寸分違,わない
わない,様
様,な
な,玩具
玩具,の
の,紙幣
紙幣,が
が,、
、,花柳界
花柳界,（
（,かりゅうかい
かりゅうかい,）
）,などで
などで,流行
流行,している
している,相
相,（
（,そう
そう,）
）,だ
だ,。
。,それは
それは,誰
誰,かから
かから,聞
聞,いたっけ
いたっけ,。
。,アア
アア,、
、,そうだ
そうだ,。
。,君
君,がいつか
がいつか,話
話,したんだ
したんだ,。
。,ビックリ
ビックリ,函
函,（
（,ばこ
ばこ,）
）,だとか
だとか,、
、,本物
本物,とちっとも
とちっとも,違
違,わない
わない,、
、,泥
泥,で
で,作
作,った
った,菓子
菓子,や
や,果物
果物,だとか
だとか,、
、,蛇
蛇,の
の,玩具
玩具,だとか
だとか,、
、,ああしたものと
ああしたものと,同
同,じ
じ,様
様,に
に,、
、,女
女,の
の,子
子,を
を,吃驚
吃驚,（
（,びっくり
びっくり,）
）,させて
させて,喜
喜,ぶ
ぶ,粋人
粋人,（
（,すいじん
すいじん,）
）,の
の,玩具
玩具,だといってね
だといってね,。
。,だから
だから,、
、,彼奴
彼奴,が
が,本物
本物,と
と,同
同,じ
じ,大
大,きさの
きさの,札
札,を
を,註文
註文,した
した,所
所,で
で,、
、,ちっとも
ちっとも,疑
疑,（
（,うたがい
うたがい,）
）,を
を,受
受,ける
ける,筈
筈,はないんだ
はないんだ,。
。,こうして
こうして,置
置,いて
いて,、
、,彼奴
彼奴,は
は,、
、,本物
本物,の
の,紙幣
紙幣,をうまく
をうまく,盗
盗,み
み,出
出,すと
すと,、
、,多分
多分,その
その,印刷屋
印刷屋,へ
へ,忍
忍,び
び,込
込,んで
んで,、
、,自分
自分,の
の,註文
註文,した
した,玩具
玩具,の
の,札
札,と
と,擦
擦,り
り,換
換,えて
えて,置
置,いたんだ
いたんだ,。
。,そうすれば
そうすれば,、
、,註文主
註文主,が
が,受取
受取,に
に,行
行,くまでは
くまでは,、
、,五万円
五万円,という
という,天下通用
天下通用,の
の,紙幣
紙幣,が
が,、
、,玩具
玩具,の
の,札
札,として
として,、
、,安全
安全,に
に,印刷屋
印刷屋,の
の,物置
物置,に
に,残
残,っている
っている,訳
訳,だからね
だからね,。
。,これは
これは,単
単,に
に,俺
俺,の
の,想像
想像,かも
かも,知
知,れない
れない,。
。,だが
だが,、
、,随分可能性
随分可能性,のある
のある,想像
想像,だ
だ,。
。,俺
俺,は
は,兎
兎,に
に,角当
角当,って
って,見
見,ようと
ようと,決心
決心,した
した,。
。,地図
地図,で
で,五軒町
五軒町,という
という,町
町,を
を,探
探,すと
すと,、
、,神田
神田,（
（,かんだ
かんだ,）
）,区内
区内,にあることが
にあることが,分
分,った
った,。
。,そこで
そこで,愈
愈,々（
々（,いよいよ
いよいよ,）
）,玩具
玩具,の
の,札
札,を
を,受取
受取,に
に,行
行,くのだが
くのだが,、
、,こいつが
こいつが,一寸難
一寸難,しい
しい,。
。,というのは
というのは,、
、,この
この,俺
俺,が
が,受取
受取,に
に,行
行,ったという
ったという,痕跡
痕跡,を
を,、
、,少
少,しだって
しだって,残
残,してはならないんだ
してはならないんだ,。
。,もしそれが
もしそれが,分
分,ろうものなら
ろうものなら,、
、,あの
あの,恐
恐,ろしい
ろしい,悪人
悪人,がどんな
がどんな,復讐
復讐,をするか
をするか,、
、,思
思,った
った,丈
丈,けで
けで,気
気,の
の,弱
弱,い
い,俺
俺,は
は,ゾッ
ゾッ,とするからね
とするからね,。
。,兎
兎,に
に,角
角,、
、,出来
出来,る
る,丈
丈,け
け,俺
俺,でない
でない,様
様,に
に,見
見,せなければいけない
せなければいけない,。
。,そういう
そういう,訳
訳,で
で,、
、,あんな
あんな,変装
変装,をしたんだ
をしたんだ,。
。,俺
俺,はあの
はあの,十円
十円,で
で,、
、,頭
頭,の
の,先
先,から
から,足
足,の
の,先
先,まで
まで,身
身,なりを
なりを,変
変,えた
えた,。
。,これ
これ,見給
見給,え
え,、
、,これなんか
これなんか,一寸
一寸,いい
いい,思
思,つきだろう
つきだろう,」
」,そういって
そういって,、
、,松村
松村,はそのよく
はそのよく,揃
揃,った
った,前歯
前歯,を
を,出
出,して
して,見
見,せた
せた,。
。,そこには
そこには,、
、,私
私,が
が,先程
先程,から
から,気
気,づいていた
づいていた,所
所,の
の,、
、,一本
一本,の
の,金歯
金歯,が
が,光
光,っていた
っていた,。
。,彼
彼,は
は,得意
得意,そうに
そうに,、
、,指
指,の
の,先
先,でそれをはずして
でそれをはずして,、
、,私
私,の
の,眼
眼,の
の,前
前,へつき
へつき,出
出,した
した,。「
。「,これは
これは,夜店
夜店,で
で,売
売,っている
っている,、
、,ブリキ
ブリキ,に
に,鍍金
鍍金,（
（,めっき
めっき,）
）,した
した,奴
奴,だ
だ,。
。,ただ
ただ,歯
歯,の
の,上
上,に
に,冠
冠,せて
せて,置
置,く
く,丈
丈,けの
けの,代物
代物,（
（,しろもの
しろもの,）
）,さ
さ,。
。,僅
僅,か
か,二十銭
二十銭,の
の,ブリキ
ブリキ,のかけらが
のかけらが,大
大,した
した,役
役,に
に,立
立,つからね
つからね,。
。,金歯
金歯,という
という,奴
奴,はひどく
はひどく,人
人,の
の,注意
注意,を
を,惹
惹,（
（,ひ
ひ,）
）,くものだ
くものだ,。
。,だから
だから,、
、,後日俺
後日俺,を
を,探
探,す
す,奴
奴,があるとしたら
があるとしたら,、
、,先
先,ずこの
ずこの,金歯
金歯,を
を,眼印
眼印,にするだろうじゃないか
にするだろうじゃないか,。
。,さてこれ
さてこれ,丈
丈,けの
けの,用意
用意,が
が,出来
出来,ると
ると,、
、,俺
俺,は
は,今朝早
今朝早,く
く,五軒町
五軒町,へ
へ,出掛
出掛,けた
けた,。
。,一
一,つ
つ,心配
心配,だったのは
だったのは,、
、,玩具
玩具,の
の,札
札,の
の,代金
代金,のことだった
のことだった,。
。,泥坊
泥坊,の
の,奴
奴,、
、,きっと
きっと,、
、,転売
転売,なんかされることを
なんかされることを,恐
恐,れて
れて,、
、,前金
前金,で
で,支払
支払,って
って,置
置,いただろうとは
いただろうとは,思
思,ったが
ったが,、
、,若
若,しもまだだったら
しもまだだったら,、
、,少
少,くとも
くとも,二三十円
二三十円,は
は,入用
入用,だからね
だからね,。
。,生憎
生憎,（
（,あいにく
あいにく,）
）,我
我,々
々,にはそんな
にはそんな,金
金,の
の,持合
持合,せがない
せがない,。
。,ナアニ
ナアニ,、
、,何
何,とかごまかせばいいと
とかごまかせばいいと,高
高,を
を,括
括,（
（,くく
くく,）
）,って
って,出掛
出掛,けた
けた,。——
。——,案
案,の
の,定印刷屋
定印刷屋,は
は,、
、,金
金,のことなんかは
のことなんかは,一言
一言,も
も,云
云,わないで
わないで,、
、,品物
品物,を
を,渡
渡,して
して,呉
呉,れたよ
れたよ,。——
。——,かようにして
かようにして,、
、,まんまと
まんまと,首尾
首尾,よく
よく,五万円
五万円,を
を,横取
横取,りした
りした,訳
訳,さ
さ,。……
。……,さてその
さてその,使途
使途,（
（,つかいみち
つかいみち,）
）,だ
だ,。
。,どうだ
どうだ,。
。,何
何,か
か,、
、,考
考,はないかね
はないかね,」
」,松村
松村,が
が,、
、,これ
これ,程興奮
程興奮,して
して,、
、,これ
これ,程雄弁
程雄弁,に
に,喋
喋,ったことは
ったことは,珍
珍,しい
しい,。
。,私
私,はつくづく
はつくづく,五万円
五万円,という
という,金
金,の
の,偉力
偉力,に
に,驚嘆
驚嘆,した
した,。
。,私
私,は
は,其都度
其都度,（
（,つど
つど,）
）,形容
形容,する
する,煩
煩,（
（,はん
はん,）
）,を
を,避
避,けたが
けたが,、
、,松村
松村,がこの
がこの,苦心談
苦心談,をしている
をしている,間
間,の
の,、
、,嬉
嬉,し
し,相
相,な
な,様
様,というものは
というものは,、
、,全
全,く
く,見物
見物,（
（,みもの
みもの,）
）,であった
であった,。
。,彼
彼,ははしたなく
ははしたなく,喜
喜,ぶ
ぶ,顔
顔,を
を,見
見,せまいとして
せまいとして,、
、,大
大,いに
いに,努力
努力,して
して,居
居,った
った,様
様,であるが
であるが,、
、,努
努,（
（,つと
つと,）
）,めても
めても,、
、,努
努,めても
めても,、
、,腹
腹,の
の,底
底,から
から,込
込,み
み,上
上,げて
げて,来
来,る
る,、
、,何
何,とも
とも,云
云,えぬ
えぬ,嬉
嬉,し
し,相
相,な
な,笑顔
笑顔,は
は,隠
隠,すことが
すことが,出来
出来,なかった
なかった,。
。,話
話,の
の,間
間,々
々,に
に,ニヤリ
ニヤリ,と
と,洩
洩,（
（,も
も,）
）,らす
らす,、
、,その
その,形容
形容,のし
のし,様
様,もない
もない,、
、,狂気
狂気,の
の,様
様,な
な,笑
笑,いは
いは,、
、,私
私,は
は,寧
寧,ろ
ろ,凄
凄,いと
いと,思
思,った
った,。
。,併
併,し
し,、
、,昔千両
昔千両,の
の,富籤
富籤,（
（,とみくじ
とみくじ,）
）,に
に,当
当,って
って,発狂
発狂,した
した,貧乏人
貧乏人,があったという
があったという,話
話,もあるのだから
もあるのだから,、
、,松村
松村,が
が,五万円
五万円,に
に,狂喜
狂喜,するのは
するのは,決
決,して
して,無理
無理,ではなかった
ではなかった,。
。,私
私,はこの
はこの,喜
喜,びがいつまでも
びがいつまでも,続
続,けかしと
けかしと,願
願,った
った,。
。,松村
松村,の
の,為
為,にそれを
にそれを,願
願,った
った,。
。,だが
だが,、
、,私
私,には
には,、
、,どうすることも
どうすることも,出来
出来,ぬ
ぬ,一
一,つの
つの,事実
事実,があった
があった,。
。,止
止,めようにも
めようにも,止
止,めることの
めることの,出来
出来,ない
ない,笑
笑,いが
いが,爆発
爆発,した
した,。
。,私
私,は
は,笑
笑,うんじゃないと
うんじゃないと,自分自身
自分自身,を
を,叱
叱,（
（,しか
しか,）
）,りつけたけれども
りつけたけれども,、
、,私
私,の
の,中
中,の
の,、
、,小
小,さな
さな,悪戯好
悪戯好,きの
きの,悪魔
悪魔,が
が,、
、,そんなことには
そんなことには,閉口
閉口,（
（,へこ
へこ,）
）,たれないで
たれないで,私
私,をくすぐった
をくすぐった,。
。,私
私,は
は,一段
一段,と
と,高
高,い
い,声
声,で
で,、
、,最
最,もおかしい
もおかしい,笑劇
笑劇,を
を,見
見,ている
ている,人
人,の
の,様
様,に
に,笑
笑,った
った,。
。,松村
松村,はあっけにとられて
はあっけにとられて,、
、,笑
笑,い
い,転
転,（
（,こ
こ,）
）,ける
ける,私
私,を
を,見
見,ていた
ていた,。
。,そして
そして,、
、,一寸変
一寸変,なものにぶっつかった
なものにぶっつかった,様
様,な
な,顔
顔,をして
をして,云
云,った
った,。「
。「,君
君,、
、,どうしたんだ
どうしたんだ,」
」,私
私,はやっと
はやっと,笑
笑,いを
いを,噛
噛,み
み,殺
殺,してそれに
してそれに,答
答,えた
えた,。「
。「,君
君,の
の,想像力
想像力,は
は,実
実,にすばらしい
にすばらしい,。
。,よくこれ
よくこれ,丈
丈,けの
けの,大仕事
大仕事,をやった
をやった,。
。,俺
俺,はきっと
はきっと,今迄
今迄,の
の,数倍
数倍,も
も,君
君,の
の,頭
頭,を
を,尊敬
尊敬,する
する,様
様,になるだろう
になるだろう,。
。,成程君
成程君,の
の,云
云,う
う,様
様,に
に,、
、,頭
頭,のよさでは
のよさでは,敵
敵,（
（,かな
かな,）
）,わない
わない,。
。,だが
だが,、
、,君
君,は
は,、
、,現実
現実,というものがそれ
というものがそれ,程
程,ロマンチック
ロマンチック,だと
だと,信
信,じているのかい
じているのかい,」
」,松村
松村,は
は,返事
返事,もしないで
もしないで,、
、,一種異様
一種異様,の
の,表情
表情,を
を,以
以,て
て,私
私,を
を,見詰
見詰,めた
めた,。「
。「,言
言,い
い,換
換,えれば
えれば,、
、,君
君,は
は,、
、,あの
あの,紳士泥坊
紳士泥坊,にそれ
にそれ,程
程,の
の,ウイット
ウイット,があると
があると,思
思,うのかい
うのかい,。
。,君
君,の
の,想像
想像,は
は,、
、,小説
小説,としては
としては,実
実,に
に,申分
申分,がないことを
がないことを,認
認,める
める,。
。,けれども
けれども,世
世,の
の,中
中,は
は,小説
小説,よりはもっと
よりはもっと,現実的
現実的,だからね
だからね,。
。,そして
そして,、
、,若
若,し
し,小説
小説,について
について,論
論,じるのなら
じるのなら,、
、,俺
俺,は
は,少
少,し
し,君
君,の
の,注意
注意,を
を,惹
惹,き
き,度
度,い
い,点
点,がある
がある,。
。,それは
それは,、
、,この
この,暗号文
暗号文,には
には,、
、,もっと
もっと,外
外,の
の,解
解,き
き,方
方,はないかということだ
はないかということだ,。
。,君
君,の
の,飜訳
飜訳,したものを
したものを,、
、,もう
もう,一度飜訳
一度飜訳,する
する,可能性
可能性,はないかということだ
はないかということだ,。
。,例
例,えばだ
えばだ,、
、,この
この,文句
文句,を
を,八字
八字,ずつ
ずつ,飛
飛,ばして
ばして,読
読,むという
むという,様
様,なことは
なことは,出来
出来,ないことだろうか
ないことだろうか,」
」,私
私,はこういって
はこういって,、
、,松村
松村,の
の,書
書,いた
いた,暗号
暗号,の
の,飜訳文
飜訳文,に
に,左
左,の
の,様
様,な
な,印
印,をつけた
をつけた,。
。,ゴケンチョ
ゴケンチョ,ー
ー,ショ
ショ,ー
ー,ジキド
ジキド,ー
ー,カラオモチャノサツヲウケトレウケトリニンノナハダイコクヤショ
カラオモチャノサツヲウケトレウケトリニンノナハダイコクヤショ,ー
ー,テン
テン,「
「,ゴジャウダン
ゴジャウダン,。
。,君
君,、
、,この
この,『
『,御冗談
御冗談,』
』,というのは
というのは,何
何,だろう
だろう,。
。,エ
エ,、
、,これが
これが,偶然
偶然,だろうか
だろうか,。
。,誰
誰,かの
かの,悪戯
悪戯,だという
だという,意味
意味,ではないだろうか
ではないだろうか,」
」,松村
松村,は
は,物
物,をも
をも,云
云,わずに
わずに,立上
立上,った
った,。
。,そして
そして,、
、,五万円
五万円,の
の,札束
札束,だと
だと,信
信,じ
じ,切
切,っている
っている,所
所,の
の,、
、,かの
かの,風呂敷包
風呂敷包,を
を,私
私,の
の,前
前,へ
へ,持
持,って
って,来
来,た
た,。「
。「,だが
だが,、
、,この
この,大事実
大事実,をどうする
をどうする,。
。,五万円
五万円,という
という,金
金,は
は,、
、,小説
小説,の
の,中
中,からは
からは,生
生,れないぞ
れないぞ,」
」,彼
彼,の
の,声
声,には
には,、
、,果
果,（
（,はた
はた,）
）,し
し,合
合,（
（,あい
あい,）
）,をする
をする,時
時,の
の,様
様,な
な,真剣
真剣,さが
さが,籠
籠,（
（,こも
こも,）
）,っていた
っていた,。
。,私
私,は
は,恐
恐,ろしくなった
ろしくなった,。
。,そして
そして,、
、,私
私,の
の,一寸
一寸,したいたずらの
したいたずらの,、
、,予想外
予想外,に
に,大
大,きな
きな,効果
効果,を
を,、
、,後悔
後悔,しないではいられなかった
しないではいられなかった,。「
。「,俺
俺,は
は,、
、,君
君,に
に,対
対,して
して,実
実,に
に,済
済,まぬことをした
まぬことをした,。
。,どうか
どうか,許
許,して
して,呉
呉,れ
れ,。
。,君
君,がそんなに
がそんなに,大切
大切,にして
にして,持
持,って
って,来
来,たのは
たのは,、
、,矢張
矢張,（
（,やは
やは,）
）,り
り,玩具
玩具,の
の,札
札,なんだ
なんだ,。
。,マア
マア,、
、,それを
それを,開
開,いてよく
いてよく,調
調,べて
べて,見給
見給,え
え,」
」,松村
松村,は
は,、
、,丁度暗
丁度暗,（
（,やみ
やみ,）
）,の
の,中
中,で
で,物
物,を
を,探
探,る
る,様
様,な
な,、
、,一種異様
一種異様,の
の,手附
手附,で
で,——
——,それを
それを,見
見,て
て,、
、,私
私,は
は,益
益,々
々,気
気,の
の,毒
毒,になった
になった,——
——,長
長,い
い,間
間,かかって
かかって,風呂敷包
風呂敷包,を
を,解
解,いた
いた,。
。,そこには
そこには,、
、,新聞紙
新聞紙,で
で,丁寧
丁寧,に
に,包
包,んだ
んだ,、
、,二
二,つの
つの,四角
四角,な
な,包
包,みがあった
みがあった,。
。,その
その,内
内,の
の,一
一,つは
つは,新聞
新聞,が
が,破
破,れて
れて,中味
中味,が
が,現
現,れていた
れていた,。「
。「,俺
俺,は
は,途中
途中,でこれを
でこれを,開
開,いて
いて,、
、,この
この,眼
眼,で
で,見
見,たんだ
たんだ,」
」,松村
松村,は
は,喉
喉,に
に,閊
閊,（
（,つか
つか,）
）,えた
えた,様
様,な
な,声
声,で
で,云
云,って
って,、
、,尚
尚,おも
おも,新聞紙
新聞紙,をすっかり
をすっかり,取
取,り
り,去
去,った
った,。
。,それは
それは,、
、,如何
如何,にも
にも,真
真,（
（,しん
しん,）
）,にせまった
にせまった,贋物
贋物,であった
であった,。
。,一寸見
一寸見,たのでは
たのでは,、
、,凡
凡,ての
ての,点
点,が
が,本物
本物,であった
であった,。
。,けれども
けれども,、
、,よく
よく,見
見,ると
ると,、
、,それらの
それらの,札
札,の
の,表面
表面,には
には,、
、,圓
圓,という
という,字
字,の
の,代
代,りに
りに,團
團,という
という,字
字,が
が,、
、,大
大,きく
きく,印刷
印刷,されてあった
されてあった,。
。,二十圓
二十圓,、
、,十圓
十圓,ではなくて
ではなくて,、
、,二十團
二十團,、
、,十團
十團,であった
であった,。
。,松村
松村,はそれを
はそれを,信
信,ぜぬように
ぜぬように,、
、,幾度
幾度,も
も,幾度
幾度,も
も,見直
見直,していた
していた,。
。,そうしている
そうしている,内
内,に
に,、
、,彼
彼,の
の,顔
顔,からは
からは,、
、,あの
あの,笑
笑,いの
いの,影
影,がすっかり
がすっかり,消去
消去,って
って,了
了,った
った,。
。,そして
そして,、
、,後
後,には
には,深
深,い
い,深
深,い
い,沈黙
沈黙,が
が,残
残,った
った,。
。,私
私,は
は,済
済,まぬという
まぬという,心持
心持,で
で,一杯
一杯,であった
であった,。
。,私
私,は
は,、
、,私
私,の
の,遣
遣,り
り,過
過,ぎたいたずらについて
ぎたいたずらについて,説明
説明,した
した,。
。,けれども
けれども,、
、,松村
松村,はそれを
はそれを,聞
聞,こうともしなかった
こうともしなかった,。
。,その
その,日一日
日一日,はただ
はただ,唖者
唖者,の
の,様
様,に
に,黙
黙,り
り,込
込,んでいた
んでいた,。
。,これで
これで,、
、,このお
このお,話
話,はおしまいである
はおしまいである,。
。,けれども
けれども,、
、,読者諸君
読者諸君,の
の,好奇心
好奇心,を
を,充
充,す
す,為
為,に
に,、
、,私
私,のいたずらについて
のいたずらについて,、
、,一言説明
一言説明,して
して,置
置,かねばならぬ
かねばならぬ,。
。,正直堂
正直堂,という
という,印刷屋
印刷屋,は
は,、
、,実
実,は
は,私
私,の
の,遠
遠,い
い,親戚
親戚,であった
であった,。
。,私
私,はある
はある,日
日,、
、,せっぱ
せっぱ,詰
詰,った
った,苦
苦,しまぎれに
しまぎれに,、
、,そのふだんは
そのふだんは,不義理
不義理,を
を,重
重,ねている
ねている,所
所,の
の,親戚
親戚,のことを
のことを,思出
思出,した
した,。
。,そして
そして,、
、,いくらでも
いくらでも,金
金,の
の,都合
都合,がつけばと
がつけばと,思
思,って
って,、
、,進
進,まぬながら
まぬながら,久
久,し
し,振
振,りでそこを
りでそこを,訪問
訪問,した
した,。——
。——,無論
無論,このことについては
このことについては,松村
松村,は
は,少
少,しも
しも,知
知,らなかった
らなかった,。——
。——,借金
借金,の
の,方
方,は
は,予想通
予想通,り
り,失敗
失敗,であったが
であったが,、
、,その
その,時図
時図,（
（,はか
はか,）
）,らずも
らずも,、
、,あの
あの,本物
本物,と
と,少
少,しも
しも,違
違,わない
わない,様
様,な
な,、
、,其時
其時,は
は,印刷中
印刷中,であった
であった,所
所,の
の,、
、,玩具
玩具,の
の,札
札,を
を,見
見,たのである
たのである,。
。,そしてそれが
そしてそれが,、
、,大黒屋
大黒屋,という
という,長年
長年,の
の,御得意先
御得意先,の
の,註文品
註文品,だということを
だということを,聞
聞,いたのである
いたのである,。
。,私
私,はこの
はこの,発見
発見,を
を,、
、,我
我,々
々,の
の,毎日
毎日,の
の,話柄
話柄,（
（,わへい
わへい,）
）,となっていた
となっていた,、
、,あの
あの,紳士泥坊
紳士泥坊,の
の,一件
一件,と
と,結
結,びつけて
びつけて,、
、,一芝居打
一芝居打,って
って,見
見,ようと
ようと,、
、,下
下,らぬいたずらを
らぬいたずらを,思
思,いついたのであった
いついたのであった,。
。,それは
それは,、
、,私
私,も
も,松村
松村,と
と,同様
同様,に
に,、
、,頭
頭,のよさについて
のよさについて,、
、,私
私,の
の,優越
優越,を
を,示
示,す
す,様
様,な
な,材料
材料,が
が,掴
掴,（
（,つか
つか,）
）,み
み,度
度,いと
いと,、
、,日頃
日頃,から
から,熱望
熱望,していたからであった
していたからであった,。
。,あのぎこちない
あのぎこちない,暗号文
暗号文,は
は,、
、,勿論私
勿論私,の
の,作
作,ったものであった
ったものであった,。
。,併
併,し
し,、
、,私
私,は
は,松村
松村,の
の,様
様,に
に,外国
外国,の
の,暗号史
暗号史,に
に,通
通,じていた
じていた,訳
訳,ではない
ではない,。
。,ただ
ただ,一寸
一寸,した
した,思
思,いつきに
いつきに,過
過,ぎなかったのだ
ぎなかったのだ,。
。,煙草屋
煙草屋,の
の,娘
娘,が
が,差入屋
差入屋,へ
へ,嫁
嫁,（
（,とつ
とつ,）
）,いでいるという
いでいるという,様
様,なことも
なことも,、
、,矢張
矢張,り
り,出鱈目
出鱈目,であった
であった,。
。,第一
第一,、
、,その
その,煙草屋
煙草屋,に
に,娘
娘,があるかどうかさえ
があるかどうかさえ,怪
怪,しかった
しかった,。
。,ただ
ただ,、
、,このお
このお,芝居
芝居,で
で,、
、,私
私,の
の,最
最,も
も,危
危,（
（,あやぶ
あやぶ,）
）,んだのは
んだのは,、
、,これらの
これらの,ドラマチック
ドラマチック,な
な,方面
方面,ではなくて
ではなくて,、
、,最
最,も
も,現実的
現実的,な
な,併
併,し
し,全体
全体,から
から,見
見,ては
ては,極
極,めて
めて,些細
些細,（
（,ささい
ささい,）
）,な
な,、
、,少
少,し
し,滑稽味
滑稽味,（
（,こっけいみ
こっけいみ,）
）,を
を,帯
帯,びた
びた,、
、,一
一,つの
つの,点
点,であった
であった,。
。,それは
それは,、
、,私
私,が
が,見
見,た
た,所
所,のあの
のあの,玩具
玩具,の
の,札
札,が
が,、
、,松村
松村,が
が,受取
受取,りに
りに,行
行,くまで
くまで,、
、,配達
配達,されないで
されないで,、
、,印刷屋
印刷屋,に
に,残
残,っているかどうかということであった
っているかどうかということであった,。
。,玩具
玩具,の
の,代金
代金,については
については,、
、,私
私,は
は,少
少,しも
しも,心配
心配,しなかった
しなかった,。
。,私
私,の
の,親戚
親戚,と
と,大黒屋
大黒屋,とは
とは,延取引
延取引,（
（,のべとりひき
のべとりひき,）
）,であったし
であったし,、
、,其上
其上,もっといい
もっといい,事
事,は
は,、
、,正直堂
正直堂,が
が,極
極,めて
めて,原始的
原始的,な
な,、
、,ル
ル,ー
ー,ズ
ズ,な
な,商売
商売,のやり
のやり,方
方,をして
をして,居
居,ったことで
ったことで,、
、,松村
松村,は
は,別段
別段,、
、,大黒屋
大黒屋,の
の,主人
主人,の
の,受取証
受取証,を
を,持参
持参,しないでも
しないでも,失敗
失敗,する
する,筈
筈,はなかったからである
はなかったからである,。
。,最後
最後,に
に,、
、,彼
彼,（
（,か
か,）
）,の
の,トリック
トリック,の
の,出発点
出発点,となった
となった,二銭銅貨
二銭銅貨,については
については,、
、,私
私,は
は,茲
茲,に
に,詳
詳,しい
しい,説明
説明,を
を,避
避,けねばならぬことを
けねばならぬことを,遺憾
遺憾,に
に,思
思,う
う,。
。,若
若,し
し,、
、,私
私,がへまなことを
がへまなことを,書
書,いては
いては,、
、,後日
後日,、
、,あの
あの,品
品,を
を,私
私,に
に,呉
呉,れたある
れたある,人
人,が
が,、
、,飛
飛,んだ
んだ,迷惑
迷惑,を
を,蒙
蒙,（
（,こうむ
こうむ,）
）,るかも
るかも,知
知,れないからである
れないからである,。
。,読者
読者,は
は,、
、,私
私,が
が,偶然
偶然,それを
それを,所持
所持,していたと
していたと,思
思,って
って,下
下,さればよいのである
さればよいのである,。
。,底本
底本,：「
：「,江戸川乱歩全集第巻屋根裏
江戸川乱歩全集第巻屋根裏,の
の,散歩者
散歩者,」
」,光文社文庫
光文社文庫,、
、,光文社
光文社,（
（,平成
平成,）
）,年月日初版刷発行底本
年月日初版刷発行底本,の
の,親本
親本,：「
：「,江戸川乱歩全集第一巻
江戸川乱歩全集第一巻,」
」,平凡社
平凡社,（
（,昭和
昭和,）
）,年月初出
年月初出,：「
：「,新青年
新青年,」
」,博文館
博文館,（
（,大正
大正,）
）,年月
年月,※
※,底本
底本,は
は,、
、,物
物,を
を,数
数,える
える,際
際,や
や,地名
地名,などに
などに,用
用,いる
いる,「
「,ヶ
ヶ,」（
」（,区点番号
区点番号,）
）,を
を,、
、,大振
大振,りにつくっています
りにつくっています,。※
。※,暗号
暗号,を
を,解
解,いた
いた,結果
結果,の
の,表
表,は
は,、
、,入力者
入力者,が
が,底本
底本,をもとに
をもとに,作成
作成,しました
