一,親譲
びているそうである,。
。,心
心,にもないお
にもないお,世辞
世辞,を
を,振
振,（
（,ふ
ふ,）
）,り
り,蒔
蒔,（
（,ま
ま,）
）,いたり
いたり,、
、,美
美,しい
しい,顔
顔,をして
をして,君子
君子,を
を,陥
陥,（
（,おとしい
おとしい,）
）,れたりする
れたりする,ハイカラ
ハイカラ,野郎
野郎,は
は,一人
一人,もないと
もないと,信
信,ずるからして
ずるからして,、
、,君
君,のごとき
のごとき,温良篤厚
温良篤厚,（
（,とっこう
とっこう,）
）,の
の,士
士,は
は,必
必,ずその
ずその,地方一般
地方一般,の
の,歓迎
歓迎,（
（,かんげい
かんげい,）
）,を
を,受
受,けられるに
けられるに,相違
相違,（
（,そうい
そうい,）
）,ない
ない,。
。,吾輩
吾輩,（
（,わがはい
わがはい,）
）,は
は,大
大,いに
いに,古賀君
古賀君,のためにこの
のためにこの,転任
転任,を
を,祝
祝,するのである
するのである,。
。,終
終,りに
りに,臨
臨,んで
んで,君
君,が
が,延岡
延岡,に
に,赴任
赴任,（
（,ふにん
ふにん,）
）,されたら
されたら,、
、,その
その,地
地,の
の,淑女
淑女,（
（,しゅくじょ
しゅくじょ,）
）,にして
にして,、
、,君子
君子,の
の,好逑
好逑,（
（,こうきゅう
こうきゅう,）
）,となるべき
となるべき,資格
資格,あるものを
あるものを,択
択,（
（,えら
えら,）
）,んで
んで,一日
一日,（
（,いちじつ
いちじつ,）
）,も
も,早
早,く
く,円満
円満,なる
なる,家庭
家庭,をかたち
をかたち,作
作,って
って,、
、,かの
かの,不貞無節
不貞無節,なるお
なるお,転婆
転婆,（
（,てんば
てんば,）
）,を
を,事実
事実,の
の,上
上,において
において,慚死
慚死,（
（,ざんし
ざんし,）
）,せしめん
せしめん,事
事,を
を,希望
希望,します
します,。
。,えへんえへんと
えへんえへんと,二
二,つばかり
つばかり,大
大,きな
きな,咳払
咳払,（
（,せきばら
せきばら,）
）,いをして
いをして,席
席,に
に,着
着,いた
いた,。
。,おれは
おれは,今度
今度,も
も,手
手,を
を,叩
叩,（
（,たた
たた,）
）,こうと
こうと,思
思,ったが
ったが,、
、,またみんながおれの
またみんながおれの,面
面,（
（,かお
かお,）
）,を
を,見
見,るといやだから
るといやだから,、
、,やめにしておいた
やめにしておいた,。
。,山嵐
山嵐,が
が,坐
坐,ると
ると,今度
今度,はうらなり
はうらなり,先生
先生,が
が,起
起,った
った,。
。,先生
先生,はご
はご,鄭寧
鄭寧,（
（,ていねい
ていねい,）
）,に
に,、
、,自席
自席,から
から,、
、,座敷
座敷,の
の,端
端,（
（,はし
はし,）
）,の
の,末座
末座,まで
まで,行
行,って
って,、
、,慇懃
慇懃,（
（,いんぎん
いんぎん,）
）,に
に,一同
一同,に
に,挨拶
挨拶,（
（,あいさつ
あいさつ,）
）,をした
をした,上
上,、
、,今般
今般,は
は,一身上
一身上,の
の,都合
都合,で
で,九州
九州,へ
へ,参
参,る
る,事
事,になりましたについて
になりましたについて,、
、,諸先生方
諸先生方,が
が,小生
小生,のためにこの
のためにこの,盛大
盛大,（
（,せいだい
せいだい,）
）,なる
なる,送別会
送別会,をお
をお,開
開,き
き,下
下,さったのは
さったのは,、
、,まことに
まことに,感銘
感銘,（
（,かんめい
かんめい,）
）,の
の,至
至,りに
りに,堪
堪,（
（,た
た,）
）,えぬ
えぬ,次第
次第,で
で,——
——,ことにただ
ことにただ,今
今,は
は,校長
校長,、
、,教頭
教頭,その
その,他諸君
他諸君,の
の,送別
送別,の
の,辞
辞,を
を,頂戴
頂戴,（
（,ちょうだい
ちょうだい,）
）,して
して,、
、,大
大,いに
いに,難有
難有,（
（,ありがた
ありがた,）
）,く
く,服膺
服膺,（
（,ふくよう
ふくよう,）
）,する
する,訳
訳,であります
であります,。
。,私
私,はこれから
はこれから,遠方
遠方,へ
へ,参
参,りますが
りますが,、
、,なにとぞ
なにとぞ,従前
従前,の
の,通
通,りお
りお,見捨
見捨,てなくご
てなくご,愛顧
愛顧,（
（,あいこ
あいこ,）
）,のほどを
のほどを,願
願,います
います,。
。,とへえつく
とへえつく,張
張,って
って,席
席,に
に,戻
戻,（
（,もど
もど,）
）,った
った,。
。,うらなり
うらなり,君
君,はどこまで
はどこまで,人
人,が
が,好
好,いんだか
いんだか,、
、,ほとんど
ほとんど,底
底,が
が,知
知,れない
れない,。
。,自分
自分,がこんなに
がこんなに,馬鹿
馬鹿,にされている
にされている,校長
校長,や
や,、
、,教頭
教頭,に
に,恭
恭,（
（,うやうや
うやうや,）
）,しくお
しくお,礼
礼,を
を,云
云,っている
っている,。
。,それも
それも,義理一遍
義理一遍,（
（,いっぺん
いっぺん,）
）,の
の,挨拶
挨拶,ならだが
ならだが,、
、,あの
あの,様子
様子,や
や,、
、,あの
あの,言葉
言葉,つきや
つきや,、
、,あの
あの,顔
顔,つきから
つきから,云
云,うと
うと,、
、,心
心,（
（,しん
しん,）
）,から
から,感謝
感謝,しているらしい
しているらしい,。
。,こんな
こんな,聖人
聖人,に
に,真面目
真面目,にお
にお,礼
礼,を
を,云
云,われたら
われたら,、
、,気
気,の
の,毒
毒,になって
になって,、
、,赤面
赤面,しそうなものだが
しそうなものだが,狸
狸,も
も,赤
赤,シャツ
シャツ,も
も,真面目
真面目,に
に,謹聴
謹聴,（
（,きんちょう
きんちょう,）
）,しているばかりだ
しているばかりだ,。
。,挨拶
挨拶,が
が,済
済,んだら
んだら,、
、,あちらでも
あちらでも,チュ
チュ,ー、
ー、,こちらでも
こちらでも,チュ
チュ,ー、
ー、,という
という,音
音,がする
がする,。
。,おれも
おれも,真似
真似,をして
をして,汁
汁,（
（,しる
しる,）
）,を
を,飲
飲,んでみたがまずいもんだ
んでみたがまずいもんだ,。
。,口取
口取,（
（,くちとり
くちとり,）
）,に
に,蒲鉾
蒲鉾,（
（,かまぼこ
かまぼこ,）
）,はついてるが
はついてるが,、
、,どす
どす,黒
黒,くて
くて,竹輪
竹輪,の
の,出来損
出来損,（
（,できそこ
できそこ,）
）,ないである
ないである,。
。,刺身
刺身,（
（,さしみ
さしみ,）
）,も
も,並
並,んでるが
んでるが,、
、,厚
厚,くって
くって,鮪
鮪,（
（,まぐろ
まぐろ,）
）,の
の,切
切,り
り,身
身,を
を,生
生,で
で,食
食,うと
うと,同
同,じ
じ,事
事,だ
だ,。
。,それでも
それでも,隣
隣,（
（,とな
とな,）
）,り
り,近所
近所,の
の,連中
連中,はむしゃむしゃ
はむしゃむしゃ,旨
旨,（
（,うま
うま,）
）,そうに
そうに,食
食,っている
っている,。
。,大方江戸前
大方江戸前,の
の,料理
料理,を
を,食
食,った
った,事
事,がないんだろう
がないんだろう,。
。,そのうち
そのうち,燗徳利
燗徳利,（
（,かんどくり
かんどくり,）
）,が
が,頻繁
頻繁,（
（,ひんぱん
ひんぱん,）
）,に
に,往来
往来,し
し,始
始,めたら
めたら,、
、,四方
四方,が
が,急
急,に
に,賑
賑,（
（,にぎ
にぎ,）
）,やかになった
やかになった,。
。,野
野,だ
だ,公
公,は
は,恭
恭,しく
しく,校長
校長,の
の,前
前,へ
へ,出
出,て
て,盃
盃,（
（,さかずき
さかずき,）
）,を
を,頂
頂,いてる
いてる,。
。,いやな
いやな,奴
奴,だ
だ,。
。,うらなり
うらなり,君
君,は
は,順
順,々
々,に
に,献酬
献酬,（
（,けんしゅう
けんしゅう,）
）,をして
をして,、
、,一巡周
一巡周,（
（,いちじゅんめぐ
いちじゅんめぐ,）
）,るつもりとみえる
るつもりとみえる,。
。,はなはだご
はなはだご,苦労
苦労,である
である,。
。,うらなり
うらなり,君
君,がおれの
がおれの,前
前,へ
へ,来
来,て
て,、
、,一
一,つ
つ,頂戴致
頂戴致,しましょうと
しましょうと,袴
袴,のひだを
のひだを,正
正,して
して,申
申,し
し,込
込,まれたから
まれたから,、
、,おれも
おれも,窮屈
窮屈,に
に,ズボン
ズボン,のままかしこまって
のままかしこまって,、
、,一盃
一盃,（
（,ぱい
ぱい,）
）,差
差,し
し,上
上,げた
げた,。
。,せっかく
せっかく,参
参,って
って,、
、,すぐお
すぐお,別
別,れになるのは
れになるのは,残念
残念,ですね
ですね,。
。,ご
ご,出立
出立,（
（,しゅったつ
しゅったつ,）
）,はいつです
はいつです,、
、,是非浜
是非浜,までお
までお,見送
見送,りをしましょうと
りをしましょうと,云
云,ったら
ったら,、
、,うらなり
うらなり,君
君,はいえご
はいえご,用多
用多,（
（,おお
おお,）
）,のところ
のところ,決
決,してそれには
してそれには,及
及,（
（,およ
およ,）
）,びませんと
びませんと,答
答,えた
えた,。
。,うらなり
うらなり,君
君,が
が,何
何,と
と,云
云,ったって
ったって,、
、,おれは
おれは,学校
学校,を
を,休
休,んで
んで,送
送,る
る,気
気,でいる
でいる,。
。,それから
それから,一時間
一時間,ほどするうちに
ほどするうちに,席上
席上,は
は,大分乱
大分乱,れて
れて,来
来,る
る,。
。,まあ
まあ,一杯
一杯,（
（,ぱい
ぱい,）、
）、,おや
おや,僕
僕,が
が,飲
飲,めと
めと,云
云,うのに
うのに,……
……,などと
などと,呂律
呂律,（
（,ろれつ
ろれつ,）
）,の
の,巡
巡,（
（,まわ
まわ,）
）,りかねるのも
りかねるのも,一人二人
一人二人,（
（,ひとりふたり
ひとりふたり,）
）,出来
出来,て
て,来
来,た
た,。
。,少
少,々
々,退屈
退屈,（
（,たいくつ
たいくつ,）
）,したから
したから,便所
便所,へ
へ,行
行,って
って,、
、,昔風
昔風,な
な,庭
庭,を
を,星明
星明,りにすかして
りにすかして,眺
眺,（
（,なが
なが,）
）,めていると
めていると,山嵐
山嵐,が
が,来
来,た
た,。
。,どうださっきの
どうださっきの,演説
演説,はうまかったろう
はうまかったろう,。
。,と
と,大分得意
大分得意,である
である,。
。,大賛成
大賛成,だが
だが,一
一,ヶ
ヶ,所気
所気,に
に,入
入,らないと
らないと,抗議
抗議,（
（,こうぎ
こうぎ,）
）,を
を,申
申,し
し,込
込,んだら
んだら,、
、,どこが
どこが,不賛成
不賛成,だと
だと,聞
聞,いた
いた,。「
。「,美
美,しい
しい,顔
顔,をして
をして,人
人,を
を,陥
陥,れるような
れるような,ハイカラ
ハイカラ,野郎
野郎,は
は,延岡
延岡,に
に,居
居,（
（,お
お,）
）,らないから
らないから,……
……,と
と,君
君,は
は,云
云,ったろう
ったろう,」「
」「,うん
うん,」「
」「,ハイカラ
ハイカラ,野郎
野郎,だけでは
だけでは,不足
不足,だよ
だよ,」「
」「,じゃ
じゃ,何
何,と
と,云
云,うんだ
うんだ,」「
」「,ハイカラ
ハイカラ,野郎
野郎,の
の,、
、,ペテン
ペテン,師
師,の
の,、
、,イカサマ
イカサマ,師
師,の
の,、
、,猫被
猫被,（
（,ねこっかぶ
ねこっかぶ,）
）,りの
りの,、
、,香具師
香具師,（
（,やし
やし,）
）,の
の,、
、,モモンガ
モモンガ,ー
ー,の
の,、
、,岡
岡,っ
っ,引
引,きの
きの,、
、,わんわん
わんわん,鳴
鳴,けば
けば,犬
犬,も
も,同然
同然,な
な,奴
奴,とでも
とでも,云
云,うがいい
うがいい,」「
」「,おれには
おれには,、
、,そう
そう,舌
舌,は
は,廻
廻,らない
らない,。
。,君
君,は
は,能弁
能弁,だ
だ,。
。,第一単語
第一単語,を
を,大変
大変,たくさん
たくさん,知
知,ってる
ってる,。
。,それで
それで,演舌
演舌,（
（,えんぜつ
えんぜつ,）
）,が
が,出来
出来,ないのは
ないのは,不思議
不思議,だ
だ,」「
」「,なにこれは
なにこれは,喧嘩
喧嘩,（
（,けんか
けんか,）
）,のときに
のときに,使
使,おうと
おうと,思
思,って
って,、
、,用心
用心,のために
のために,取
取,っておく
っておく,言葉
言葉,さ
さ,。
。,演舌
演舌,となっちゃ
となっちゃ,、
、,こうは
こうは,出
出,ない
ない,」「
」「,そうかな
そうかな,、
、,しかしぺらぺら
しかしぺらぺら,出
出,るぜ
るぜ,。
。,もう
もう,一遍
一遍,やって
やって,見
見,たまえ
たまえ,」「
」「,何遍
何遍,でもやるさいいか
でもやるさいいか,。——
。——,ハイカラ
ハイカラ,野郎
野郎,の
の,ペテン
ペテン,師
師,の
の,、
、,イカサマ
イカサマ,師
師,の
の,……」
……」,と
と,云
云,いかけていると
いかけていると,、
、,椽側
椽側,（
（,えんがわ
えんがわ,）
）,をどたばた
をどたばた,云
云,わして
わして,、
、,二人
二人,ばかり
ばかり,、
、,よろよろしながら
よろよろしながら,馳
馳,（
（,か
か,）
）,け
け,出
出,して
して,来
来,た
た,。「
。「,両君
両君,そりゃひどい
そりゃひどい,、——
、——,逃
逃,げるなんて
げるなんて,、——
、——,僕
僕,が
が,居
居,るうちは
るうちは,決
決,して
して,逃
逃,（
（,にが
にが,）
）,さない
さない,、
、,さあのみたまえ
さあのみたまえ,。——
。——,いかさま
いかさま,師
師,？——
？——,面白
面白,い
い,、
、,いかさま
いかさま,面白
面白,い
い,。——
。——,さあ
さあ,飲
飲,みたまえ
みたまえ,」
」,とおれと
とおれと,山嵐
山嵐,をぐいぐい
をぐいぐい,引
引,っ
っ,張
張,って
って,行
行,く
く,。
。,実
実,はこの
はこの,両人共便所
両人共便所,に
に,来
来,たのだが
たのだが,、
、,酔
酔,（
（,よ
よ,）
）,ってるもんだから
ってるもんだから,、
、,便所
便所,へはいるのを
へはいるのを,忘
忘,れて
れて,、
、,おれ
おれ,等
等,を
を,引
引,っ
っ,張
張,るのだろう
るのだろう,。
。,酔
酔,っ
っ,払
払,いは
いは,目
目,の
の,中
中,（
（,あた
あた,）
）,る
る,所
所,へ
へ,用事
用事,を
を,拵
拵,えて
えて,、
、,前
前,の
の,事
事,はすぐ
はすぐ,忘
忘,れてしまうんだろう
れてしまうんだろう,。「
。「,さあ
さあ,、
、,諸君
諸君,、
、,いかさま
いかさま,師
師,を
を,引
引,っ
っ,張
張,って
って,来
来,た
た,。
。,さあ
さあ,飲
飲,ましてくれたまえ
ましてくれたまえ,。
。,いかさま
いかさま,師
師,をうんと
をうんと,云
云,うほど
うほど,、
、,酔
酔,わしてくれたまえ
わしてくれたまえ,。
。,君逃
君逃,げちゃいかん
げちゃいかん,」
」,と
と,逃
逃,げもせぬ
げもせぬ,、
、,おれを
おれを,壁際
壁際,（
（,かべぎわ
かべぎわ,）
）,へ
へ,圧
圧,（
（,お
お,）
）,し
し,付
付,けた
けた,。
。,諸方
諸方,を
を,見廻
見廻,してみると
してみると,、
、,膳
膳,の
の,上
上,に
に,満足
満足,な
な,肴
肴,の
の,乗
乗,っているのは
っているのは,一
一,つもない
つもない,。
。,自分
自分,の
の,分
分,を
を,奇麗
奇麗,（
（,きれい
きれい,）
）,に
に,食
食,い
い,尽
尽,（
（,つく
つく,）
）,して
して,、
、,五六間先
五六間先,へ
へ,遠征
遠征,（
（,えんせい
えんせい,）
）,に
に,出
出,た
た,奴
奴,もいる
もいる,。
。,校長
校長,はいつ
はいつ,帰
帰,ったか
ったか,姿
姿,が
が,見
見,えない
えない,。
。,ところへお
ところへお,座敷
座敷,はこちら
はこちら,？
？,と
と,芸者
芸者,が
が,三四人
三四人,はいって
はいって,来
来,た
た,。
。,おれも
おれも,少
少,し
し,驚
驚,（
（,おど
おど,）
）,ろいたが
ろいたが,、
、,壁際
壁際,へ
へ,圧
圧,し
し,付
付,けられているんだから
けられているんだから,、
、,じっとしてただ
じっとしてただ,見
見,ていた
ていた,。
。,すると
すると,今
今,まで
まで,床柱
床柱,（
（,とこばしら
とこばしら,）
）,へもたれて
へもたれて,例
例,の
の,琥珀
琥珀,（
（,こはく
こはく,）
）,の
の,パイプ
パイプ,を
を,自慢
自慢,（
（,じまん
じまん,）
）,そうに
そうに,啣
啣,（
（,くわ
くわ,）
）,えていた
えていた,、
、,赤
赤,シャツ
シャツ,が
が,急
急,に
に,起
起,（
（,た
た,）
）,って
って,、
、,座敷
座敷,を
を,出
出,にかかった
にかかった,。
。,向
向,（
（,むこ
むこ,）
）,うからはいって
うからはいって,来
来,た
た,芸者
芸者,の
の,一人
一人,が
が,、
、,行
行,き
き,違
違,いながら
いながら,、
、,笑
笑,って
って,挨拶
挨拶,をした
をした,。
。,その
その,一人
一人,は
は,一番若
一番若,くて
くて,一番奇麗
一番奇麗,な
な,奴
奴,だ
だ,。
。,遠
遠,くで
くで,聞
聞,（
（,きこ
きこ,）
）,えなかったが
えなかったが,、
、,おや
おや,今晩
今晩,はぐらい
はぐらい,云
云,ったらしい
ったらしい,。
。,赤
赤,シャツ
シャツ,は
は,知
知,らん
らん,顔
顔,をして
をして,出
出,て
て,行
行,ったぎり
ったぎり,、
、,顔
顔,を
を,出
出,さなかった
さなかった,。
。,大方校長
大方校長,のあとを
のあとを,追懸
追懸,（
（,おいか
おいか,）
）,けて
けて,帰
帰,ったんだろう
ったんだろう,。
。,芸者
芸者,が
が,来
来,たら
たら,座敷中急
座敷中急,に
に,陽気
陽気,になって
になって,、
、,一同
一同,が
が,鬨
鬨,（
（,とき
とき,）
）,の
の,声
声,を
を,揚
揚,（
（,あ
あ,）
）,げて
げて,歓迎
歓迎,（
（,かんげい
かんげい,）
）,したのかと
したのかと,思
思,うくらい
うくらい,、
、,騒
騒,々（
々（,そうぞう
そうぞう,）
）,しい
しい,。
。,そうしてある
そうしてある,奴
奴,はなんこを
はなんこを,攫
攫,（
（,つか
つか,）
）,む
む,。
。,その
その,声
声,の
の,大
大,きな
きな,事
事,、
、,まるで
まるで,居合抜
居合抜,（
（,いあいぬき
いあいぬき,）
）,の
の,稽古
稽古,（
（,けいこ
けいこ,）
）,のようだ
のようだ,。
。,こっちでは
こっちでは,拳
拳,（
（,けん
けん,）
）,を
を,打
打,ってる
ってる,。
。,よっ
よっ,、
、,はっ
はっ,、
、,と
と,夢中
夢中,（
（,むちゅう
むちゅう,）
）,で
で,両手
両手,を
を,振
振,るところは
るところは,、
、,ダ
ダ,ー
ー,ク
ク,一座
一座,の
の,操人形
操人形,（
（,あやつりにんぎょう
あやつりにんぎょう,）
）,よりよっぽど
よりよっぽど,上手
上手,（
（,じょうず
じょうず,）
）,だ
だ,。
。,向
向,うの
うの,隅
隅,（
（,すみ
すみ,）
）,ではおいお
ではおいお,酌
酌,（
（,しゃく
しゃく,）
）,だ
だ,、
、,と
と,徳利
徳利,を
を,振
振,ってみて
ってみて,、
、,酒
酒,だ
だ,酒
酒,だと
だと,言
言,い
い,直
直,している
している,。
。,どうもやかましくて
どうもやかましくて,騒
騒,々
々,しくってたまらない
しくってたまらない,。
。,そのうちで
そのうちで,手持無沙汰
手持無沙汰,（
（,てもちぶさた
てもちぶさた,）
）,に
に,下
下,を
を,向
向,いて
いて,考
考,え
え,込
込,んでるのはうらなり
んでるのはうらなり,君
君,ばかりである
ばかりである,。
。,自分
自分,のために
のために,送別会
送別会,を
を,開
開,いてくれたのは
いてくれたのは,、
、,自分
自分,の
の,転任
転任,を
を,惜
惜,（
（,おし
おし,）
）,んでくれるんじゃない
んでくれるんじゃない,。
。,みんなが
みんなが,酒
酒,を
を,呑
呑,（
（,の
の,）
）,んで
んで,遊
遊,ぶためだ
ぶためだ,。
。,自分独
自分独,りが
りが,手持無沙汰
手持無沙汰,で
で,苦
苦,しむためだ
しむためだ,。
。,こんな
こんな,送別会
送別会,なら
なら,、
、,開
開,いてもらわない
いてもらわない,方
方,がよっぽどましだ
がよっぽどましだ,。
。,しばらくしたら
しばらくしたら,、
、,めいめい
めいめい,胴間声
胴間声,（
（,どうまごえ
どうまごえ,）
）,を
を,出
出,して
して,何
何,か
か,唄
唄,（
（,うた
うた,）
）,い
い,始
始,めた
めた,。
。,おれの
おれの,前
前,へ
へ,来
来,た
た,一人
一人,の
の,芸者
芸者,が
が,、
、,あんた
あんた,、
、,なんぞ
なんぞ,、
、,唄
唄,いなはれ
いなはれ,、
、,と
と,三味線
三味線,を
を,抱
抱,（
（,かか
かか,）
）,えたから
えたから,、
、,おれは
おれは,唄
唄,わない
わない,、
、,貴様唄
貴様唄,ってみろと
ってみろと,云
云,ったら
ったら,、
、,金
金,（
（,かね
かね,）
）,や
や,太鼓
太鼓,（
（,たいこ
たいこ,）
）,でねえ
でねえ,、
、,迷子
迷子,の
の,迷子
迷子,の
の,三太郎
三太郎,と
と,、
、,どんどこ
どんどこ,、
、,どんのちゃんちきりん
どんのちゃんちきりん,。
。,叩
叩,いて
いて,廻
廻,って
って,逢
逢,（
（,あ
あ,）
）,われるものならば
われるものならば,、
、,わたしなんぞも
わたしなんぞも,、
、,金
金,や
や,太鼓
太鼓,でどんどこ
でどんどこ,、
、,どんのちゃんちきりんと
どんのちゃんちきりんと,叩
叩,いて
いて,廻
廻,って
って,逢
逢,いたい
いたい,人
人,がある
がある,、
、,と
と,二
二,た
た,息
息,にうたって
にうたって,、
、,おおしんどと
おおしんどと,云
云,った
った,。
。,おおしんどなら
おおしんどなら,、
、,もっと
もっと,楽
楽,なものをやればいいのに
なものをやればいいのに,。
。,すると
すると,、
、,いつの
いつの,間
間,にか
にか,傍
傍,（
（,そば
そば,）
）,へ
へ,来
来,て
て,坐
坐,った
った,、
、,野
野,だが
だが,、
、,鈴
鈴,ちゃん
ちゃん,逢
逢,いたい
いたい,人
人,に
に,逢
逢,ったと
ったと,思
思,ったら
ったら,、
、,すぐお
すぐお,帰
帰,りで
りで,、
、,お
お,気
気,の
の,毒
毒,さまみたようでげすと
さまみたようでげすと,相変
相変,らず
らず,噺
噺,（
（,はな
はな,）
）,し
し,家
家,みたような
みたような,言葉使
言葉使,いをする
いをする,。
。,知
知,りまへんと
りまへんと,芸者
芸者,はつんと
はつんと,済
済,ました
ました,。
。,野
野,だは
だは,頓着
頓着,（
（,とんじゃく
とんじゃく,）
）,なく
なく,、
、,たまたま
たまたま,逢
逢,いは
いは,逢
逢,いながら
いながら,……
……,と
と,、
、,いやな
いやな,声
声,を
を,出
出,して
して,義太夫
義太夫,（
（,ぎだゆう
ぎだゆう,）
）,の
の,真似
真似,（
（,まね
まね,）
）,をやる
をやる,。
。,おきなはれやと
おきなはれやと,芸者
芸者,は
は,平手
平手,で
で,野
野,だの
だの,膝
膝,（
（,ひざ
ひざ,）
）,を
を,叩
叩,いたら
いたら,野
野,だは
だは,恐悦
恐悦,（
（,きょうえつ
きょうえつ,）
）,して
して,笑
笑,ってる
ってる,。
。,この
この,芸者
芸者,は
は,赤
赤,シャツ
シャツ,に
に,挨拶
挨拶,をした
をした,奴
奴,だ
だ,。
。,芸者
芸者,に
に,叩
叩,かれて
かれて,笑
笑,うなんて
うなんて,、
、,野
野,だもおめでたい
だもおめでたい,者
者,だ
だ,。
。,鈴
鈴,ちゃん
ちゃん,僕
僕,が
が,紀伊
紀伊,（
（,き
き,）
）,の
の,国
国,を
を,踴
踴,（
（,おど
おど,）
）,るから
るから,、
、,一
一,つ
つ,弾
弾,（
（,ひ
ひ,）
）,いて
いて,頂戴
頂戴,と
と,云
云,い
い,出
出,した
した,。
。,野
野,だはこの
だはこの,上
上,まだ
まだ,踴
踴,る
る,気
気,でいる
でいる,。
。,向
向,うの
うの,方
方,で
で,漢学
漢学,のお
のお,爺
爺,（
（,じい
じい,）
）,さんが
さんが,歯
歯,のない
のない,口
口,を
を,歪
歪,（
（,ゆが
ゆが,）
）,めて
めて,、
、,そりゃ
そりゃ,聞
聞,えません
えません,伝兵衛
伝兵衛,（
（,でんべい
でんべい,）
）,さん
さん,、
、,お
お,前
前,とわたしのその
とわたしのその,中
中,は
は,……
……,とまでは
とまでは,無事
無事,に
に,済
済,（
（,すま
すま,）
）,したが
したが,、
、,それから
それから,？
？,と
と,芸者
芸者,に
に,聞
聞,いている
いている,。
。,爺
爺,さんなんて
さんなんて,物覚
物覚,えのわるいものだ
えのわるいものだ,。
。,一人
一人,が
が,博物
博物,を
を,捕
捕,（
（,つら
つら,）
）,まえて
まえて,近頃
近頃,（
（,ちかごろ
ちかごろ,）
）,こないなのが
こないなのが,、
、,でけましたぜ
でけましたぜ,、
、,弾
弾,いてみまほうか
いてみまほうか,。
。,よう
よう,聞
聞,いて
いて,、
、,いなはれや
いなはれや,——
——,花月巻
花月巻,（
（,かげつまき
かげつまき,）、
）、,白
白,い
い,リボン
リボン,の
の,ハイカラ
ハイカラ,頭
頭,、
、,乗
乗,るは
るは,自転車
自転車,、
、,弾
弾,くは
くは,ヴァイオリン
ヴァイオリン,、
、,半可
半可,（
（,はんか
はんか,）
）,の
の,英語
英語,でぺらぺらと
でぺらぺらと,、
、,と
と,唄
唄,うと
うと,、
、,博物
博物,はなるほど
はなるほど,面白
面白,い
い,、
、,英語入
英語入,りだねと
りだねと,感心
感心,している
している,。
。,山嵐
山嵐,は
は,馬鹿
馬鹿,に
に,大
大,きな
きな,声
声,を
を,出
出,して
して,、
、,芸者
芸者,、
、,芸者
芸者,と
と,呼
呼,んで
んで,、
、,おれが
おれが,剣舞
剣舞,（
（,けんぶ
けんぶ,）
）,をやるから
をやるから,、
、,三味線
三味線,を
を,弾
弾,けと
けと,号令
号令,を
を,下
下,した
した,。
。,芸者
芸者,はあまり
はあまり,乱暴
乱暴,な
な,声
声,なので
なので,、
、,あっけに
あっけに,取
取,られて
られて,返事
返事,もしない
もしない,。
。,山嵐
山嵐,は
は,委細構
委細構,わず
わず,、
、,ステッキ
ステッキ,を
を,持
持,って
って,来
来,て
て,、
、,踏破千山万岳烟
踏破千山万岳烟,（
（,ふみやぶるせんざんばんがくのけむり
ふみやぶるせんざんばんがくのけむり,）
）,と
と,真中
真中,（
（,まんなか
まんなか,）
）,へ
へ,出
出,て
て,独
独,りで
りで,隠
隠,（
（,かく
かく,）
）,し
し,芸
芸,を
を,演
演,じている
じている,。
。,ところへ
ところへ,野
野,だがすでに
だがすでに,紀伊
紀伊,（
（,き
き,）
）,の
の,国
国,を
を,済
済,まして
まして,、
、,かっぽれを
かっぽれを,済
済,まして
まして,、
、,棚
棚,（
（,たな
たな,）
）,の
の,達磨
達磨,（
（,だるま
だるま,）
）,さんを
さんを,済
済,して
して,丸裸
丸裸,（
（,まるはだか
まるはだか,）
）,の
の,越中褌
越中褌,（
（,えっちゅうふんどし
えっちゅうふんどし,）
）,一
一,つになって
つになって,、
、,棕梠箒
棕梠箒,（
（,しゅろぼうき
しゅろぼうき,）
）,を
を,小脇
小脇,に
に,抱
抱,（
（,か
か,）
）,い
い,込
込,んで
んで,、
、,日清談判破裂
日清談判破裂,（
（,はれつ
はれつ,）
）,して
して,……
……,と
と,座敷中練
座敷中練,りあるき
りあるき,出
出,した
した,。
。,まるで
まるで,気違
気違,（
（,きちが
きちが,）
）,いだ
いだ,。
。,おれはさっきから
おれはさっきから,苦
苦,しそうに
しそうに,袴
袴,も
も,脱
脱,（
（,ぬ
ぬ,）
）,がず
がず,控
控,えているうらなり
えているうらなり,君
君,が
が,気
気,の
の,毒
毒,でたまらなかったが
でたまらなかったが,、
、,なんぼ
なんぼ,自分
自分,の
の,送別会
送別会,だって
だって,、
、,越中褌
越中褌,の
の,裸踴
裸踴,（
（,はだかおどり
はだかおどり,）
）,まで
まで,羽織袴
羽織袴,で
で,我慢
我慢,（
（,がまん
がまん,）
）,してみている
してみている,必要
必要,はあるまいと
はあるまいと,思
思,ったから
ったから,、
、,そばへ
そばへ,行
行,って
って,、
、,古賀
古賀,さんもう
さんもう,帰
帰,りましょうと
りましょうと,退去
退去,を
を,勧
勧,めてみた
めてみた,。
。,するとうらなり
するとうらなり,君
君,は
は,今日
今日,は
は,私
私,の
の,送別会
送別会,だから
だから,、
、,私
私,が
が,先
先,へ
へ,帰
帰,っては
っては,失礼
失礼,です
です,、
、,どうぞご
どうぞご,遠慮
遠慮,（
（,えんりょ
えんりょ,）
）,なくと
なくと,動
動,く
く,景色
景色,もない
もない,。
。,なに
なに,構
構,うもんですか
うもんですか,、
、,送別会
送別会,なら
なら,、
、,送別会
